query,input,车辆候选列表,sysSessionId,output,appName,车型组合,category,category正确答案,mode,mode正确答案
下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗,"[{""content"":""# 用户需求：\n下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗\""}""}]",,sessionId20250606lhx1005,"```json
[{""app"": ""无"", ""category"": ""舒适型的专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
天津滨海机场到古文化街需要舒适型车辆，听说那边游客多,"[{""content"":""# 用户需求：\n天津滨海机场到古文化街需要舒适型车辆，听说那边游客多\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""天津滨海机场到古文化街需要舒适型车辆，听说那边游客多\""}""}]",,sessionId20250606lhx1013,"```json
[{""app"": ""无"", ""category"": ""舒适型的专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
下午要去广州塔拍摄，从佛山祖庙打的优先推荐车型,"[{""content"":""# 用户需求：\n下午要去广州塔拍摄，从佛山祖庙打的优先推荐车型\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""下午要去广州塔拍摄，从佛山祖庙打的优先推荐车型\""}""}]",,sessionId20250606lhx1017,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴,"[{""content"":""# 用户需求：\n沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴\""}""}]",,sessionId20250606lhx1019,"```json
[{""app"": ""无"", ""category"": ""舒适型的专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
长沙五一广场到黄花机场筛选推荐大类，国际航班要准时,"[{""content"":""# 用户需求：\n长沙五一广场到黄花机场筛选推荐大类，国际航班要准时\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""长沙五一广场到黄花机场筛选推荐大类，国际航班要准时\""}""}]",,sessionId20250606lhx1025,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
上海静安寺到虹桥站需要花小猪正价版，带着样品去参展,"[{""content"":""# 用户需求：\n上海静安寺到虹桥站需要花小猪正价版，带着样品去参展\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""上海静安寺到虹桥站需要花小猪正价版，带着样品去参展\""}""}]",,sessionId20250606lhx1052,"```json
[{""app"": ""花小猪"", ""category"": ""无"", ""mode"": ""正价版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
滇池国际会展中心的展会物料急需运送，从长水机场打的，要用“高德秒送”车型,"[{""content"":""# 用户需求：\n滇池国际会展中心的展会物料急需运送，从长水机场打的，要用“高德秒送”车型\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""滇池国际会展中心的展会物料急需运送，从长水机场打的，要用“高德秒送”车型\""}""}]",,sessionId20250606lhx1103,"```json
[{""app"": ""高德地图"", ""category"": ""无"", ""mode"": ""高德秒送"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型,"[{""content"":""# 用户需求：\n黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型\""}""}]",,sessionId20250606lhx1105,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车更安全,"[{""content"":""# 用户需求：\n宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车更安全\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车更安全\""}""}]",,sessionId20250606lhx1109,"```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
意式风情街的商务宴请，天津滨海机场过来，需要阳光出行车型,"[{""content"":""# 用户需求：\n意式风情街的商务宴请，天津滨海机场过来，需要阳光出行车型\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""意式风情街的商务宴请，天津滨海机场过来，需要阳光出行车型\""}""}]",,sessionId20250606lhx1115,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""阳光出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",未知,[],,无,,无
