query,input,车辆候选列表,sysSessionId,output,appName,车型组合,category,category正确答案,mode,mode正确答案
打车去深圳大梅沙滨海公园赶海，预算控制在60-75元,"[{""content"":""# 用户需求：\n打车去深圳大梅沙滨海公园赶海，预算控制在60-75元\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""打车去深圳大梅沙滨海公园赶海，预算控制在60-75元\""}""}]","{
        ""appName"": ""滴滴"",
        ""taxiSkuList"": [
                {""index"": ""1"", ""category"": ""推荐"", ""carModel"": ""极速拼车"", ""price"": 8},
                {""index"": ""2"", ""category"": ""推荐"", ""carModel"": ""特惠快车"", ""price"": 12},
                {""index"": ""3"", ""category"": ""推荐"", ""carModel"": ""滴滴快车"", ""price"": 13},
                {""index"": ""4"", ""category"": ""拼车"", ""carModel"": ""特价拼车"", ""price"": 7},
                {""index"": ""5"", ""category"": ""拼车"", ""carModel"": ""极速拼车"", ""price"": 8.5},
                {""index"": ""6"", ""category"": ""特价"", ""carModel"": ""花小猪外接版"", ""price"": 9.8},
                {""index"": ""7"", ""category"": ""特价"", ""carModel"": ""特惠快车"", ""price"": 8.8},
                {""index"": ""8"", ""category"": ""快速"", ""carModel"": ""花小猪正价版"", ""price"": 10},
                {""index"": ""9"", ""category"": ""快速"", ""carModel"": ""曹操出行"", ""price"": 11},
                {""index"": ""10"", ""category"": ""快速"", ""carModel"": ""特快出租车"", ""price"": 10.3},
                {""index"": ""11"", ""category"": ""快速"", ""carModel"": ""滴滴特快"", ""price"": 15.8},
                {""index"": ""12"", ""category"": ""快速"", ""carModel"": ""出租车"", ""price"": 14},
                {""index"": ""13"", ""category"": ""快速"", ""carModel"": ""滴滴快车"", ""price"": 16},
                {""index"": ""14"", ""category"": ""舒适"", ""carModel"": ""滴滴专车"", ""price"": 42},
                {""index"": ""15"", ""category"": ""舒适"", ""carModel"": ""滴滴豪华车"", ""price"": 68},
                {""index"": ""16"", ""category"": ""六座"", ""carModel"": ""六座专车"", ""price"": 54},
                {""index"": ""17"", ""category"": ""更多"", ""carModel"": ""滴滴代驾"", ""price"": 17},
                {""index"": ""18"", ""category"": ""更多"", ""carModel"": ""宠物出行"", ""price"": 21},
                {""index"": ""19"", ""category"": ""更多"", ""carModel"": ""滴滴包车"", ""price"": 39},
                {""index"": ""20"", ""category"": ""送货"", ""carModel"": ""汽车快送"", ""price"": 25},
                {""index"": ""21"", ""category"": ""送货"", ""carModel"": ""跑腿"", ""price"": 28},
                {""index"": ""22"", ""category"": ""特价"", ""carModel"": ""惊喜特价"", ""price"": 9.9},
                {""index"": ""23"", ""category"": ""推荐"", ""carModel"": ""顺风车"", ""price"": 22.5},
                {""index"": ""24"", ""category"": ""城际"", ""carModel"": ""城际拼车"", ""price"": 56.5},
                {""index"": ""25"", ""category"": ""城际"", ""carModel"": ""顺风车"", ""price"": 62},
                {""index"": ""26"", ""category"": ""推荐"", ""carModel"": ""花小猪外接版"", ""price"": 15},
                {""index"": ""27"", ""category"": ""推荐"", ""carModel"": ""花小猪正价版"", ""price"": 13.5},
                {""index"": ""28"", ""category"": ""推荐"", ""carModel"": ""滴滴专车"", ""price"": 24},
                {""index"": ""29"", ""category"": ""推荐"", ""carModel"": ""惊喜特价"", ""price"": 12.8}
        ]
}",sessionId20250606lhx0001,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 60, ""price_max"": 75, ""fast"": false}]
```",滴滴,"[{'六座': '六座专车'}, {'特价': '惊喜特价'}, {'送货': '跑腿'}, {'推荐': '惊喜特价'}, {'推荐': '滴滴快车'}, {'特价': '特惠快车'}, {'送货': '汽车快送'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'舒适': '滴滴专车'}, {'快速': '特快出租车'}, {'更多': '宠物出行'}, {'快速': '滴滴特快'}, {'更多': '滴滴包车'}, {'推荐': '滴滴专车'}, {'快速': '出租车'}, {'拼车': '极速拼车'}, {'快速': '曹操出行'}, {'特价': '花小猪外接版'}, {'城际': '城际拼车'}, {'更多': '滴滴代驾'}, {'推荐': '花小猪外接版'}, {'推荐': '极速拼车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}]",,无,,无
从福田高铁站出发，15元上下能接受，急着去高铁站开会,"[{""content"":""# 用户需求：\n从福田高铁站出发，15元上下能接受，急着去高铁站开会\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""从福田高铁站出发，15元上下能接受，急着去高铁站开会\""}""}]","{
        ""appName"": ""高德"",
        ""taxiSkuList"": [
                {""index"": ""1"", ""category"": ""拼车"", ""carModel"": ""极速拼车"", ""price"": 7.2},
                {""index"": ""2"", ""category"": ""特惠快车"", ""carModel"": ""特惠快车"", ""price"": 8.5},
                {""index"": ""3"", ""category"": ""经济型"", ""carModel"": ""曹操出行"", ""price"": 7.9},
                {""index"": ""4"", ""category"": ""经济型"", ""carModel"": ""T3出行"", ""price"": 8.3},
                {""index"": ""5"", ""category"": ""经济型"", ""carModel"": ""享道出行"", ""price"": 9},
                {""index"": ""6"", ""category"": ""经济型"", ""carModel"": ""鞍马出行"", ""price"": 10},
                {""index"": ""7"", ""category"": ""经济型"", ""carModel"": ""腾飞出行"", ""price"": 10.5},
                {""index"": ""8"", ""category"": ""经济型"", ""carModel"": ""及时用车"", ""price"": 9.5},
                {""index"": ""9"", ""category"": ""经济型"", ""carModel"": ""风韵出行"", ""price"": 9.5},
                {""index"": ""10"", ""category"": ""经济型"", ""carModel"": ""环旅出行"", ""price"": 8.9},
                {""index"": ""11"", ""category"": ""经济型"", ""carModel"": ""神州专车"", ""price"": 9.5},
                {""index"": ""12"", ""category"": ""经济型"", ""carModel"": ""叮叮出行"", ""price"": 10},
                {""index"": ""13"", ""category"": ""经济型"", ""carModel"": ""迪尔出行"", ""price"": 10.5},
                {""index"": ""14"", ""category"": ""经济型"", ""carModel"": ""旅程约车"", ""price"": 8},
                {""index"": ""15"", ""category"": ""经济型"", ""carModel"": ""聚优出租"", ""price"": 11},
                {""index"": ""16"", ""category"": ""经济型"", ""carModel"": ""阳光出行"", ""price"": 13},
                {""index"": ""17"", ""category"": ""经济型"", ""carModel"": ""首汽约车"", ""price"": 11.5},
                {""index"": ""18"", ""category"": ""经济型"", ""carModel"": ""有序出行"", ""price"": 12},
                {""index"": ""19"", ""category"": ""经济型"", ""carModel"": ""沛途出行"", ""price"": 11.5},
                {""index"": ""20"", ""category"": ""经济型"", ""carModel"": ""有滴出行"", ""price"": 12.5},
                {""index"": ""21"", ""category"": ""经济型"", ""carModel"": ""365约车"", ""price"": 13},
                {""index"": ""22"", ""category"": ""经济型"", ""carModel"": ""南京出租"", ""price"": 14},
                {""index"": ""23"", ""category"": ""经济型"", ""carModel"": ""腾飞新出租"", ""price"": 12},
                {""index"": ""24"", ""category"": ""经济型"", ""carModel"": ""鞍马聚的新出租"", ""price"": 16},
                {""index"": ""25"", ""category"": ""特快车"", ""carModel"": ""特快车"", ""price"": 18.5},
                {""index"": ""26"", ""category"": ""出租"", ""carModel"": ""出租车"", ""price"": 16},
                {""index"": ""27"", ""category"": ""优享型"", ""carModel"": ""曹操出行"", ""price"": 17.5},
                {""index"": ""28"", ""category"": ""优享型"", ""carModel"": ""阳光出行"", ""price"": 18},
                {""index"": ""29"", ""category"": ""优享型"", ""carModel"": ""T3出行"", ""price"": 19},
                {""index"": ""30"", ""category"": ""优享型"", ""carModel"": ""首汽约车"", ""price"": 19},
                {""index"": ""31"", ""category"": ""优享型"", ""carModel"": ""鞍马出行"", ""price"": 19.5},
                {""index"": ""32"", ""category"": ""优享型"", ""carModel"": ""风韵出行"", ""price"": 18.5},
                {""index"": ""33"", ""category"": ""优享型"", ""carModel"": ""腾飞出行"", ""price"": 18},
                {""index"": ""34"", ""category"": ""优享型"", ""carModel"": ""有滴出行"", ""price"": 18.5},
                {""index"": ""35"", ""category"": ""优享型"", ""carModel"": ""及时用车"", ""price"": 19.5},
                {""index"": ""36"", ""category"": ""优享型"", ""carModel"": ""神州专车"", ""price"": 19},
                {""index"": ""37"", ""category"": ""优享型"", ""carModel"": ""环旅出行"", ""price"": 19.5},
                {""index"": ""38"", ""category"": ""优享型"", ""carModel"": ""叮叮出行"", ""price"": 19.5},
                {""index"": ""39"", ""category"": ""优享型"", ""carModel"": ""沛途出行"", ""price"": 20},
                {""index"": ""40"", ""category"": ""优享型"", ""carModel"": ""旅程约车"", ""price"": 19},
                {""index"": ""41"", ""category"": ""专车"", ""carModel"": ""品质专车"", ""price"": 32},
                {""index"": ""42"", ""category"": ""六座商务"", ""carModel"": ""六座商务"", ""price"": 35},
                {""index"": ""43"", ""category"": ""送东西"", ""carModel"": ""高德秒送"", ""price"": 26},
                {""index"": ""44"", ""category"": ""顺风车"", ""carModel"": ""顺风车"", ""price"": 33},
                {""index"": ""45"", ""category"": ""特价拼车"", ""carModel"": ""特价拼车"", ""price"": 12},
                {""index"": ""46"", ""category"": ""推荐"", ""carModel"": ""顺风车"", ""price"": 17},
                {""index"": ""47"", ""category"": ""推荐"", ""carModel"": ""特价拼车"", ""price"": 12},
                {""index"": ""48"", ""category"": ""经济"", ""carModel"": ""曹操出行"", ""price"": 8.9},
                {""index"": ""49"", ""category"": ""经济"", ""carModel"": ""T3出行"", ""price"": 8.5},
                {""index"": ""50"", ""category"": ""经济"", ""carModel"": ""享道出行"", ""price"": 9},
                {""index"": ""51"", ""category"": ""经济"", ""carModel"": ""鞍马出行"", ""price"": 7.8},
                {""index"": ""52"", ""category"": ""经济"", ""carModel"": ""腾飞出行"", ""price"": 7.5},
                {""index"": ""53"", ""category"": ""经济"", ""carModel"": ""有序出行"", ""price"": 8},
                {""index"": ""54"", ""category"": ""经济"", ""carModel"": ""神州专车"", ""price"": 8},
                {""index"": ""55"", ""category"": ""经济"", ""carModel"": ""妥妥E行"", ""price"": 7.9},
                {""index"": ""56"", ""category"": ""经济"", ""carModel"": ""及时用车"", ""price"": 7.6},
                {""index"": ""57"", ""category"": ""经济"", ""carModel"": ""环旅出行"", ""price"": 8},
                {""index"": ""58"", ""category"": ""经济"", ""carModel"": ""沛途出行"", ""price"": 8.1},
                {""index"": ""59"", ""category"": ""经济"", ""carModel"": ""旅程约车"", ""price"": 8.3},
                {""index"": ""60"", ""category"": ""经济"", ""carModel"": ""风韵出行"", ""price"": 8.3},
                {""index"": ""61"", ""category"": ""经济"", ""carModel"": ""阳光出行"", ""price"": 8.2},
                {""index"": ""62"", ""category"": ""经济"", ""carModel"": ""首汽约车"", ""price"": 8},
                {""index"": ""63"", ""category"": ""经济"", ""carModel"": ""叮叮出行"", ""price"": 7.6},
                {""index"": ""64"", ""category"": ""经济"", ""carModel"": ""迪尔出行"", ""price"": 7.5},
                {""index"": ""65"", ""category"": ""经济"", ""carModel"": ""有滴出行"", ""price"": 7},
                {""index"": ""66"", ""category"": ""经济"", ""carModel"": ""聚优出租"", ""price"": 8},
                {""index"": ""67"", ""category"": ""经济"", ""carModel"": ""南京出租"", ""price"": 7.4},
                {""index"": ""68"", ""category"": ""经济"", ""carModel"": ""腾飞新出租"", ""price"": 7.9},
                {""index"": ""69"", ""category"": ""经济"", ""carModel"": ""鞍马聚的新出租"", ""price"": 8.5},
                {""index"": ""70"", ""category"": ""优享型"", ""carModel"": ""享道出行"", ""price"": 11},
                {""index"": ""71"", ""category"": ""推荐"", ""carModel"": ""品质专车"", ""price"": 28},
                {""index"": ""72"", ""category"": ""经济"", ""carModel"": ""365约车"", ""price"": 10},
                {""index"": ""73"", ""category"": ""优享型"", ""carModel"": ""旅程专车"", ""price"": 29},
                {""index"": ""74"", ""category"": ""经济型"", ""carModel"": ""聚优出行"", ""price"": 9},
                {""index"": ""75"", ""category"": ""出租车"", ""carModel"": ""鞍马聚的-高档出租车"", ""price"": 15},
                {""index"": ""76"", ""category"": ""品质专车"", ""carModel"": ""风韵出行"", ""price"": 35},
                {""index"": ""77"", ""category"": ""品质专车"", ""carModel"": ""鞍马出行"", ""price"": 42},
                {""index"": ""78"", ""category"": ""品质专车"", ""carModel"": ""叮叮出行"", ""price"": 46},
                {""index"": ""79"", ""category"": ""品质专车"", ""carModel"": ""首汽约车"", ""price"": 45},
                {""index"": ""80"", ""category"": ""品质专车"", ""carModel"": ""腾飞出行"", ""price"": 38},
                {""index"": ""81"", ""category"": ""品质专车"", ""carModel"": ""环旅出行"", ""price"": 39},
                {""index"": ""82"", ""category"": ""品质专车"", ""carModel"": ""神州专车"", ""price"": 45},
                {""index"": ""83"", ""category"": ""六座商务"", ""carModel"": ""享道出行"", ""price"": 41},
                {""index"": ""84"", ""category"": ""六座商务"", ""carModel"": ""首汽约车"", ""price"": 39},
                {""index"": ""85"", ""category"": ""出租车"", ""carModel"": ""鞍马聚的-低档"", ""price"": 19},
                {""index"": ""86"", ""category"": ""六座商务"", ""carModel"": ""叮叮出行"", ""price"": 44},
                {""index"": ""87"", ""category"": ""六座商务"", ""carModel"": ""腾飞出行"", ""price"": 40},
                {""index"": ""88"", ""category"": ""六座商务"", ""carModel"": ""神州专车"", ""price"": 50},
                {""index"": ""89"", ""category"": ""特惠快车"", ""carModel"": ""首汽约车"", ""price"": 12},
                {""index"": ""10"", ""category"": ""特惠快车"", ""carModel"": ""T3出行"", ""price"": 13},
                {""index"": ""91"", ""category"": ""特惠快车"", ""carModel"": ""享道出行"", ""price"": 12.5},
                {""index"": ""92"", ""category"": ""特惠快车"", ""carModel"": ""曹操出行"", ""price"": 13.8},
                {""index"": ""93"", ""category"": ""特惠快车"", ""carModel"": ""鞍马出行"", ""price"": 13.4},
                {""index"": ""94"", ""category"": ""特惠快车"", ""carModel"": ""风韵出行"", ""price"": 12.9},
                {""index"": ""95"", ""category"": ""特惠快车"", ""carModel"": ""有序出行"", ""price"": 12.6},
                {""index"": ""96"", ""category"": ""特惠快车"", ""carModel"": ""腾飞出行"", ""price"": 12.8},
                {""index"": ""97"", ""category"": ""特惠快车"", ""carModel"": ""阳光出行"", ""price"": 13},
                {""index"": ""98"", ""category"": ""特惠快车"", ""carModel"": ""叮叮出行"", ""price"": 12.2},
                {""index"": ""99"", ""category"": ""特惠快车"", ""carModel"": ""神州专车"", ""price"": 12.5},
                {""index"": ""100"", ""category"": ""特惠快车"", ""carModel"": ""迪尔出行"", ""price"": 12.6},
                {""index"": ""101"", ""category"": ""特惠快车"", ""carModel"": ""及时用车"", ""price"": 12.5},
                {""index"": ""102"", ""category"": ""特惠快车"", ""carModel"": ""有滴出行"", ""price"": 13.4},
                {""index"": ""103"", ""category"": ""特惠快车"", ""carModel"": ""环旅出行"", ""price"": 13.2},
                {""index"": ""104"", ""category"": ""特惠快车"", ""carModel"": ""沛途出行"", ""price"": 12},
                {""index"": ""105"", ""category"": ""特惠快车"", ""carModel"": ""聚优出行"", ""price"": 14},
                {""index"": ""106"", ""category"": ""特惠快车"", ""carModel"": ""南京出租"", ""price"": 16},
                {""index"": ""107"", ""category"": ""特惠快车"", ""carModel"": ""365约车"", ""price"": 12.5},
                {""index"": ""108"", ""category"": ""特惠快车"", ""carModel"": ""腾飞新出租"", ""price"": 12.3},
                {""index"": ""109"", ""category"": ""特惠快车"", ""carModel"": ""妥妥E行"", ""price"": 13},
                {""index"": ""110"", ""category"": ""特惠快车"", ""carModel"": ""聚的新出租"", ""price"": 11.8},
                {""index"": ""111"", ""category"": ""经济型"", ""carModel"": ""妥妥E行"", ""price"": 14},
                {""index"": ""112"", ""category"": ""优享型"", ""carModel"": ""365约车"", ""price"": 15},
                {""index"": ""113"", ""category"": ""品质专车"", ""carModel"": ""有序出行"", ""price"": 48},
                {""index"": ""114"", ""category"": ""六座商务"", ""carModel"": ""特价专车"", ""price"": 40},
                {""index"": ""115"", ""category"": ""特惠快车"", ""carModel"": ""旅程约车"", ""price"": 16},
                {""index"": ""116"", ""category"": ""特惠快车"", ""carModel"": ""聚优出租"", ""price"": 17},
                {""index"": ""117"", ""category"": ""特惠快车"", ""carModel"": ""聚的出租车"", ""price"": 17.9},
                {""index"": ""118"", ""category"": ""品质专车"", ""carModel"": ""享道出行"", ""price"": 38}
        ]
}",sessionId20250606lhx0002,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 15, ""price_max"": 15, ""fast"": false}]
```",高德地图,"[{'送东西': '高德秒送'}, {'特惠快车': '365约车'}, {'优享型': '叮叮出行'}, {'经济': '腾飞新出租'}, {'品质专车': '环旅出行'}, {'特惠快车': '聚的新出租'}, {'特惠快车': 'T3出行'}, {'特惠快车': '曹操出行'}, {'品质专车': '神州专车'}, {'品质专车': '腾飞出行'}, {'推荐': '特价拼车'}, {'经济型': 'T3出行'}, {'特惠快车': '环旅出行'}, {'经济': '聚优出租'}, {'优享型': '旅程约车'}, {'特惠快车': '神州专车'}, {'特惠快车': '腾飞出行'}, {'专车': '品质专车'}, {'经济型': '鞍马出行'}, {'经济型': '神州专车'}, {'经济型': '腾飞出行'}, {'经济': 'T3出行'}, {'特惠快车': '阳光出行'}, {'特惠快车': '聚优出行'}, {'优享型': '首汽约车'}, {'经济': '鞍马出行'}, {'品质专车': '享道出行'}, {'经济': '神州专车'}, {'经济': '腾飞出行'}, {'特惠快车': '腾飞新出租'}, {'经济型': '沛途出行'}, {'特惠快车': '享道出行'}, {'优享型': '风韵出行'}, {'六座商务': '神州专车'}, {'六座商务': '腾飞出行'}, {'经济': '阳光出行'}, {'经济型': '享道出行'}, {'出租车': '鞍马聚的-低档'}, {'出租': '出租车'}, {'优享型': '有滴出行'}, {'品质专车': '鞍马出行'}, {'经济': '享道出行'}, {'特惠快车': '鞍马出行'}, {'特惠快车': '特惠快车'}, {'六座商务': '享道出行'}, {'品质专车': '有序出行'}, {'优享型': '及时用车'}, {'经济型': '叮叮出行'}, {'特惠快车': '有序出行'}, {'六座商务': '特价专车'}, {'优享型': '365约车'}, {'经济型': '有序出行'}, {'优享型': '曹操出行'}, {'经济型': '旅程约车'}, {'特惠快车': '沛途出行'}, {'品质专车': '首汽约车'}, {'特惠快车': '妥妥E行'}, {'优享型': '环旅出行'}, {'经济型': '妥妥E行'}, {'经济': '有序出行'}, {'经济': '旅程约车'}, {'经济型': '首汽约车'}, {'特快车': '特快车'}, {'优享型': '旅程专车'}, {'优享型': '阳光出行'}, {'经济': '沛途出行'}, {'经济': '妥妥E行'}, {'推荐': '品质专车'}, {'品质专车': '叮叮出行'}, {'经济型': '风韵出行'}, {'经济': '首汽约车'}, {'特惠快车': '叮叮出行'}, {'六座商务': '首汽约车'}, {'特惠快车': '有滴出行'}, {'经济型': '迪尔出行'}, {'经济': '风韵出行'}, {'经济型': '有滴出行'}, {'经济型': '南京出租'}, {'特惠快车': '旅程约车'}, {'优享型': 'T3出行'}, {'出租车': '鞍马聚的-高档出租车'}, {'经济': '叮叮出行'}, {'经济': '迪尔出行'}, {'经济': '有滴出行'}, {'经济型': '及时用车'}, {'六座商务': '六座商务'}, {'特价拼车': '特价拼车'}, {'经济型': '聚优出租'}, {'经济': '南京出租'}, {'优享型': '鞍马出行'}, {'优享型': '神州专车'}, {'优享型': '腾飞出行'}, {'六座商务': '叮叮出行'}, {'特惠快车': '首汽约车'}, {'品质专车': '风韵出行'}, {'经济型': '365约车'}, {'推荐': '顺风车'}, {'经济型': '曹操出行'}, {'经济': '及时用车'}, {'特惠快车': '风韵出行'}, {'经济型': '环旅出行'}, {'顺风车': '顺风车'}, {'优享型': '沛途出行'}, {'经济': '365约车'}, {'经济型': '鞍马聚的新出租'}, {'经济': '曹操出行'}, {'特惠快车': '迪尔出行'}, {'优享型': '享道出行'}, {'经济': '环旅出行'}, {'拼车': '极速拼车'}, {'经济型': '阳光出行'}, {'经济型': '聚优出行'}, {'特惠快车': '南京出租'}, {'经济': '鞍马聚的新出租'}, {'特惠快车': '聚的出租车'}, {'经济型': '腾飞新出租'}, {'特惠快车': '及时用车'}, {'特惠快车': '聚优出租'}]",,无,,无
坐车到观澜版画村写生，价格最好不超过65元,"[{""content"":""# 用户需求：\n坐车到观澜版画村写生，价格最好不超过65元\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""坐车到观澜版画村写生，价格最好不超过65元\""}""}]",,sessionId20250606lhx0003,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 0, ""price_max"": 65, ""fast"": false}]
```",未知,[],,无,,无
去龙岗万达广场聚餐，22元左右的车费比较合适,"[{""content"":""# 用户需求：\n去龙岗万达广场聚餐，22元左右的车费比较合适\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""去龙岗万达广场聚餐，22元左右的车费比较合适\""}""}]",,sessionId20250606lhx0004,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 22, ""price_max"": 22, ""fast"": false}]
```",未知,[],,无,,无
费用严格70元内，从昆明翠湖打车到石林景区参观,"[{""content"":""# 用户需求：\n费用严格70元内，从昆明翠湖打车到石林景区参观\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""费用严格70元内，从昆明翠湖打车到石林景区参观\""}""}]",,sessionId20250606lhx0005,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 0, ""price_max"": 70, ""fast"": false}]
```",未知,[],,无,,无
下午去华侨城医院复诊，30-35元之间的预算,"[{""content"":""# 用户需求：\n下午去华侨城医院复诊，30-35元之间的预算\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""下午去华侨城医院复诊，30-35元之间的预算\""}""}]",,sessionId20250606lhx0006,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 30, ""price_max"": 35, ""fast"": false}]
```",未知,[],,无,,无
从坂田天安云谷出发，18元内能到华为基地开会,"[{""content"":""# 用户需求：\n从坂田天安云谷出发，18元内能到华为基地开会\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""从坂田天安云谷出发，18元内能到华为基地开会\""}""}]",,sessionId20250606lhx0007,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 0, ""price_max"": 18, ""fast"": false}]
```",未知,[],,无,,无
打车到宝安体育馆打球，45到50元可以接受,"[{""content"":""# 用户需求：\n打车到宝安体育馆打球，45到50元可以接受\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""打车到宝安体育馆打球，45到50元可以接受\""}""}]",,sessionId20250606lhx0008,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 45, ""price_max"": 50, ""fast"": false}]
```",未知,[],,无,,无
去盐田海鲜街吃晚饭，35元以上费用没问题,"[{""content"":""# 用户需求：\n去盐田海鲜街吃晚饭，35元以上费用没问题\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""去盐田海鲜街吃晚饭，35元以上费用没问题\""}""}]",,sessionId20250606lhx0009,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 35, ""price_max"": 100000, ""fast"": false}]
```",未知,[],,无,,无
从梅村出发办事，50元以上车费都能接受,"[{""content"":""# 用户需求：\n从梅村出发办事，50元以上车费都能接受\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""从梅村出发办事，50元以上车费都能接受\""}""}]",,sessionId20250606lhx0010,"```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": true, ""price_min"": 50, ""price_max"": 100000, ""fast"": false}]
```",未知,[],,无,,无
