app_name,category,query,prediction,label,is_correct,tool_name_correct,params_correct
抖音,搜索,我要用抖音的商城拍照找找有没有相似的款式,"{""tool_name"": ""open_camera_search"", ""tool_parameters"": {""app"": ""抖音""}}","{""tool_name"": ""open_camera_search"", ""tool_parameters"": {""app"": ""抖音""}}",True,True,True
抖音,购物车,帮我在抖音里瞧瞧购物车,"{""error"": ""No valid tool or parameter found to fulfill the request""}","{""tool_name"": ""open_cart_content"", ""tool_parameters"": {""app"": ""抖音"", ""filter_type"": ""无""}}",False,False,False
抖音,订单,在抖音中查看我的订单,"{""tool_name"": ""open_orders"", ""tool_parameters"": {""app"": ""抖音"", ""order_status"": ""无""}}","{""tool_name"": ""open_orders"", ""tool_parameters"": {""app"": ""抖音"", ""order_status"": ""无""}}",True,True,True
抖音,收藏,去抖音瞧瞧收藏的商品,"{""tool_name"": ""open_favorite_goods"", ""tool_parameters"": {""app"": ""抖音"", ""filter_type"": ""无"", ""order_type"": ""无""}}","{""tool_name"": ""open_favorite_goods"", ""tool_parameters"": {""app"": ""抖音"", ""filter_type"": ""无"", ""order_type"": ""无""}}",True,True,True
抖音,客服,我要进抖音找到我的客服页面,"{""tool_name"": ""open_customer_service"", ""tool_parameters"": {""app"": ""抖音""}}","{""tool_name"": ""open_customer_service"", ""tool_parameters"": {""app"": ""抖音""}}",True,True,True
抖音,签到,在抖音中签到领积分,"{""tool_name"": ""sign_in"", ""tool_parameters"": {""app"": ""抖音"", ""page_type"": ""赚钱""}}","{""tool_name"": ""sign_in"", ""tool_parameters"": {""app"": ""抖音"", ""page_type"": ""无""}}",False,True,False
抖音极速版,搜索,在抖音极速版的商城中使用拍照找同款,"{""tool_name"": ""open_camera_search"", ""tool_parameters"": {""app"": ""抖音极速版""}}","{""tool_name"": ""open_camera_search"", ""tool_parameters"": {""app"": ""抖音极速版""}}",True,True,True
抖音极速版,购物车,打开抖音极速版，看看购物车,"{""error"": ""No valid tool or parameter found to fulfill the request""}","{""tool_name"": ""open_cart_content"", ""tool_parameters"": {""app"": ""抖音极速版"", ""filter_type"": ""无""}}",False,False,False
抖音极速版,订单,抖音极速版里去查找一下我的订单,"{""tool_name"": ""search_order"", ""tool_parameters"": {""app"": ""抖音极速版"", ""search_info"": """", ""order_status"": ""无""}}","{""tool_name"": ""open_orders"", ""tool_parameters"": {""app"": ""抖音极速版"", ""order_status"": ""无""}}",False,False,False
抖音极速版,收藏,打开抖音极速版，看看我收藏的商品,"{""tool_name"": ""open_favorite_goods"", ""tool_parameters"": {""app"": ""抖音极速版"", ""filter_type"": ""无"", ""order_type"": ""无""}}","{""tool_name"": ""open_favorite_goods"", ""tool_parameters"": {""app"": ""抖音极速版"", ""filter_type"": ""无"", ""order_type"": ""无""}}",True,True,True
抖音极速版,客服,在抖音极速版中打开我的客服页面,"{""tool_name"": ""open_customer_service"", ""tool_parameters"": {""app"": ""抖音极速版""}}","{""tool_name"": ""open_customer_service"", ""tool_parameters"": {""app"": ""抖音极速版""}}",True,True,True
快手,搜索,能不能在快手里用拍照找相似的功能,"{""tool_name"": ""open_camera_search"", ""tool_parameters"": {""app"": ""快手""}}","{""tool_name"": ""open_camera_search"", ""tool_parameters"": {""app"": ""快手""}}",True,True,True
快手,订单,帮我在快手查一下我的订单信息,"{""tool_name"": ""open_orders"", ""tool_parameters"": {""app"": ""快手"", ""order_status"": ""无""}}","{""tool_name"": ""open_orders"", ""tool_parameters"": {""app"": ""快手"", ""order_status"": ""无""}}",True,True,True
快手,收藏,快手帮我看商品收藏列表,"{""tool_name"": ""open_favorite_goods"", ""tool_parameters"": {""app"": ""快手"", ""filter_type"": ""无"", ""order_type"": ""无""}}","{""tool_name"": ""open_favorite_goods"", ""tool_parameters"": {""app"": ""快手"", ""filter_type"": ""无"", ""order_type"": ""无""}}",True,True,True
快手,客服,帮我在快手联系一下官方客服,"{""tool_name"": ""open_customer_service"", ""tool_parameters"": {""app"": ""快手""}}","{""tool_name"": ""open_customer_service"", ""tool_parameters"": {""app"": ""快手""}}",True,True,True
