query,车辆候选列表,车型组合,category,category正确答案,mode,mode正确答案
下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗,[],[],,无,,无
天津滨海机场到古文化街需要舒适型车辆，听说那边游客多,[],[],,无,,无
下午要去广州塔拍摄，从佛山祖庙打的优先推荐车型,[],[],,无,,无
沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴,[],[],,无,,无
长沙五一广场到黄花机场筛选推荐大类，国际航班要准时,[],[],,无,,无
上海静安寺到虹桥站需要花小猪正价版，带着样品去参展,[],[],,无,,无
滇池国际会展中心的展会物料急需运送，从长水机场打的，要用“高德秒送”车型,[],[],,无,,无
黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型,[],[],,无,,无
宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车更安全,[],[],,无,,无
意式风情街的商务宴请，天津滨海机场过来，需要阳光出行车型,[],[],,无,,无
拙政园景区考察古建，苏州东方之门出发，用“环旅出行”车型，适配文化主题,[],[],,无,,无
鼓浪屿三丘田码头的船舶配件，高崎机场用享道出行确保准时送达,[],[],,无,,无
灵山大佛开光法会物资，硕放机场下单，使用风韵出行车型的车,[],[],,无,,无
沈阳故宫的修复器材运输，桃仙机场选经济分类的车,[],[],,无,,无
中央大街步行街的巡展道具，太平机场预约聚优出租夜间配送,[],[],,无,,无
净月潭国家森林公园团建，龙嘉机场叫南京出租竟能开发票报销,[],[],,无,,无
平潭岛龙王头海滩拍摄器材，火车南站打的，使用腾飞出行车型的车,[],[],,无,,无
长隆海洋王国的生物样本，金湾机场，指定聚优出行车型的车，冷链运输,[],[],,无,,无
清晖园博物馆古籍修复，顺德华侨城出发，用365约车车型的车,[],[],,无,,无
中华恐龙园设备维护，奔牛机场到园区，叫鞍马出行车型的车，带升降梯车型,[],[],,无,,无
滕王阁夜景拍摄器材，昌北机场，使用首汽约车车型的车,[],[],,无,,无
青岩古镇非遗展品，龙洞堡机场到北门，需要及时用车车型的车，夜间押运,[],[],,无,,无
广西民族博物馆民族服饰，万象城到馆区选六座商务类目挂衣车型,[],[],,无,,无
布达拉宫广场庆典物资，贡嘎机场，预约聚的新出租车型的车,[],[],,无,,无
塔尔寺酥油花展品运输，曹家堡机场统一安排，需要经济型分类车型的车,[],[],,无,,无
太平山顶的贵宾接待，香港机场使用品质专车带星空顶配置,[],[],,无,,无
逢甲夜市美食展冷链运输，清泉岗机场，用享道出行车型的车,[],[],,无,,无
请帮我叫一辆腾飞出行车型的车，现在需要从台南机场到赤崁楼文化园区，测绘仪器要放后备箱,[],[],,无,,无
从高雄小港机场到西子湾拼车，选神州专车车型的车，客户PPT在车上突然要改,[],[],,无,,无
我想立刻叫环旅出行车型的车，三亚凤凰机场到亚龙湾，客户突然要加购十箱芒果伴手礼,[],[],,无,,无
经济分类车型的车现在能走吗？张家界荷花机场到天门山，无人机电池过安检被扣了,[],[],,无,,无
请调一辆风韵出行，丽江三义机场到大水车，化妆师把假发落酒店要折返,[],[],,无,,无
嘎洒机场到野象谷拼车，选经济型类目，傣族园泼水把摄像机淋短路了,[],[],,无,,无
打出租车，聚优出租车型的车！桂林两江机场到象鼻山，剧组灯光架倒塌封路要绕行,[],[],,无,,无
南京出租车型的车现在有空车吗？敦煌莫高机场到鸣沙山，沙尘暴预警要提前两小时,[],[],,无,,无
鞍马聚的车型的车，长白山机场到北坡，科考队的冰钻突然要加急送,[],[],,无,,无
打出租车，特惠快车类目，黄山屯溪机场到南大门，实习生把登山绳忘托运处,[],[],,无,,无
六座商务车型有ETC吗？拉萨市到纳木错，藏民卖的手串卡住车门应急锁,[],[],,无,,无
首汽约车车型的车带儿童座椅吗？林芝米林机场到大峡谷，向导孩子发烧要送诊所,[],[],,无,,无
日喀则机场到扎什伦布寺，经济型分类现在走，唐卡画轴超长要斜放,[],[],,无,,无
有序出行车型的车能开发票吗？阿里昆莎到古格王朝，测绘仪三脚架被风吹折,[],[],,无,,无
请调一辆享道出行车型的车，邦达机场到然乌湖，冰层取样箱漏了要买密封胶,[],[],,无,,无
T3出行车型的车能带宠物吗？库尔勒机场到罗布人村寨，客户要直播烤全驼装车,[],[],,无,,无
火焰山景区现在52℃，叮叮出行车型的车空调坏了吗？矿泉水瞬间蒸发半箱,[],[],,无,,无
鞍马出行车型的车有现金找零？哈密机场到巴里坤草原，哈萨克族司机说要收羊抵车费,[],[],,无,,无
克拉玛依机场到魔鬼城，腾飞出行车型的车防沙膜破了，相机CMOS进沙索赔,[],[],,无,,无
聚优出租车型的车能开专票？石河子机场到军垦博物馆，文物运输箱密码锁失灵,[],[],,无,,无
和田机场到夜市，使用阳光出行车型的车，,[],[],,无,,无
阿克苏机场到天山峡谷，环旅出行车型的车！落石砸坏保险杠叫拖车,[],[],,无,,无
经济型分类能走小路？昌吉机场到天山天池，西王母庙闭馆要翻墙进入,[],[],,无,,无
阿拉尔市到塔里木河大桥，经济分类车型的车，要带灭火器！胡杨林烟熏镜头,[],[],,无,,无
聚的新出租车型的车能带货？图木舒克到唐王城，考古队洛阳铲被当成危险品,[],[],,无,,无
五家渠市到青格达湖，首汽约车车型的车，鱼探仪短路冒火花,[],[],,无,,无
享道出行车型的车底盘多高？昆玉市到昆仑山大峡谷，卫星电话掉进冰河,[],[],,无,,无
