instruction,true_output,model_output
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：打车去大梅沙滨海公园，选79元以内的车型
用户可以选择的车型大类为['优享型', '豪华型', '出租车', '特快车', '经济型', '六座商务', '轻享专车']
用户可以选择的车型小类为['曹操出行', '斑马快跑', '飞嘀打车', '全民GO', '神州专车', 'T3出行', '5U出行', '特惠快车', '东潮出行', '如祺出行', '聚的新出租', '及时用车', '中军出行', '远途极速拼', '妥妥E行', '享道出行', '阳光出行', '深圳出租', '中交出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:[]; 小类:[],大类:[]; 小类:[]
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：打车去民乐，选60元以上的车型
用户可以选择的车型大类为['优享型', '豪华型', '出租车', '特快车', '经济型', '六座商务', '惠享专车', '轻享专车']
用户可以选择的车型小类为['深圳出租', '曹操出行', '首汽约车', '斑马快跑', '飞嘀打车', '全民GO', '神州专车', 'T3出行', '5U出行', '极速拼车', '东潮出行', '如祺出行', '聚的新出租', '及时用车', '妥妥E行', '中军出行', '享道出行', '阳光出行', '特惠快车', '中交出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:[]; 小类:[],大类:[]; 小类:[]
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：我要从家/公司去动物园，帮忙叫个快车，价格一定不能高于60
用户可以选择的车型大类为['优享型', '出租车', '特快车', '经济型', '六座商务', '品质专车']
用户可以选择的车型小类为['环旅出行', '聚优出租', '曹操出行', '首汽约车', '腾飞出行', '风韵出行', '有滴出行', '神州专车', 'T3出行', '鞍马出行', '极速拼车', '沛途出行', '及时用车', '旅程约车', '腾飞新出租', '鞍马聚的新出租', '迪尔出行', '享道出行', '365约车', '阳光出行', '特惠快车', '叮叮出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:['特快车']; 小类:['特惠快车'],大类:['特快车']; 小类:['特惠快车']
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：麻烦帮我打专车到海底捞，打车费用一定不能高于50
用户可以选择的车型大类为['优享型', '出租车', '特快车', '经济型', '六座商务', '品质专车']
用户可以选择的车型小类为['环旅出行', '聚优出租', '曹操出行', '腾飞出行', '首汽约车', '风韵出行', '神州专车', '有滴出行', 'T3出行', '鞍马出行', '极速拼车', '南京出租', '及时用车', '旅程约车', '腾飞新出租', '有序出行', '鞍马聚的新出租', '妥妥E行', '迪尔出行', '享道出行', '365约车', '阳光出行', '特惠快车', '叮叮出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:['品质专车']; 小类:['神州专车'],大类:['品质专车']; 小类:['神州专车']
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：给我打个六座车去朱三家龙虾吃饭，打车费用尽量控制在100以内
用户可以选择的车型大类为['优享型', '出租车', '特快车', '经济型', '六座商务', '品质专车']
用户可以选择的车型小类为['环旅出行', '聚优出租', '曹操出行', '腾飞出行', '首汽约车', '风韵出行', '有滴出行', '神州专车', 'T3出行', '鞍马出行', '极速拼车', '南京出租', '及时用车', '旅程约车', '腾飞新出租', '有序出行', '鞍马聚的新出租', '妥妥E行', '迪尔出行', '享道出行', '365约车', '阳光出行', '特惠快车', '叮叮出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:['六座商务']; 小类:[],大类:['六座商务']; 小类:[]
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：能帮我打个拼车去景枫中心吗
用户可以选择的车型大类为['优享型', '出租车', '特快车', '经济型', '六座商务', '品质专车']
用户可以选择的车型小类为['环旅出行', '聚优出租', '曹操出行', '腾飞出行', '首汽约车', '风韵出行', '有滴出行', '神州专车', 'T3出行', '鞍马出行', '极速拼车', '南京出租', '沛途出行', '及时用车', '旅程约车', '腾飞新出租', '鞍马聚的新出租', '妥妥E行', '迪尔出行', '享道出行', '阳光出行', '特惠快车', '叮叮出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:['拼车']; 小类:['极速拼车'],大类:['拼车']; 小类:['极速拼车']
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：请帮我叫个专车，去三江学院
用户可以选择的车型大类为['优享型', '出租车', '特快车', '经济型', '六座商务', '品质专车']
用户可以选择的车型小类为['环旅出行', '聚优出租', '曹操出行', '腾飞出行', '首汽约车', '风韵出行', '神州专车', '有滴出行', 'T3出行', '鞍马出行', '极速拼车', '南京出租', '沛途出行', '及时用车', '旅程约车', '有序出行', '鞍马聚的新出租', '妥妥E行', '迪尔出行', '享道出行', '365约车', '阳光出行', '特惠快车', '叮叮出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:['品质专车']; 小类:['神州专车'],大类:['品质专车']; 小类:['神州专车']
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：帮我打出租车去机场费用要100以内
用户可以选择的车型大类为[]
用户可以选择的车型小类为[]

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:['出租车']; 小类:['聚优出租，腾飞新出租，南京出租，鞍马聚的新出组'],大类:['出租车']; 小类:['聚的新出租，聚优出租']
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：请帮我打出租车去银杏湖乐园打车费要90左右
用户可以选择的车型大类为['优享型', '出租车', '特快车', '经济型', '六座商务', '品质专车']
用户可以选择的车型小类为['环旅出行', '聚优出租', '曹操出行', '首汽约车', '腾飞出行', '风韵出行', '有滴出行', '神州专车', 'T3出行', '鞍马出行', '极速拼车', '沛途出行', '及时用车', '旅程约车', '鞍马聚的新出租', '妥妥E行', '迪尔出行', '享道出行', '365约车', '阳光出行', '特惠快车', '叮叮出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:['出租车']; 小类:['聚优出租，鞍马聚的新出租'],大类:['出租车']; 小类:['聚优出租，鞍马聚的新出租']
"你是一个高德打车助手，你能根据用户的query去选择车型大类和车型小类，其中车型大类如[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]等，车型小类如[""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""神州专车"",""飞嘀打车"",""T3出行"",""全民GO"",""妥妥E行"",""聚的新出租"",""阳光出行"",""聚优出租""]等。 

用户的query是：五个人准备去水游城，吃饭，麻烦呼叫个车
用户可以选择的车型大类为['优享型', '出租车', '特快车', '经济型', '六座商务', '品质专车']
用户可以选择的车型小类为['环旅出行', '聚优出租', '曹操出行', '腾飞出行', '首汽约车', '风韵出行', '有滴出行', '神州专车', 'T3出行', '鞍马出行', '极速拼车', '南京出租', '沛途出行', '及时用车', '旅程约车', '腾飞新出租', '妥妥E行', '迪尔出行', '享道出行', '365约车', '阳光出行', '特惠快车', '叮叮出行']

输出格式如下：
大类:[大类1,大类2]; 小类:[小类1,小类2]

特殊情况说明：
如果用户对车大类或者车小类没有明确要求，则大类和小类的字段都为空。 如query为：给我打个车去朱三家龙虾吃饭， 则输出大类:[]; 小类:[]
如果用户要求打所有车型，则输出所有的大类及所有的小类。 如query为：帮我打所有的车去火车站，则输出大类:[""经济型""，“特快车”，“出租车”，“优享型”，“轻享专车”，“六座商务”，“豪华型”]; 小类:[""远途极速拼"",""特惠快车"",""曹操出行"",""5U出行"",""中军出行"",""斑马快跑"",""东潮出行"",""神州专车"",""飞嘀打车"",""中交出行"",""T3出行"",""全民GO"",""妥妥E行"",""如祺出行"",""及时用车"",""享道出行"",""阳光出行"",""聚的新出租"",""深圳出租""]
当用户要求的车在可选列表中没有时，则输出大类:[]; 小类:[]，如:郑州东站到国际会展中心打车，要求七座MPV车型或者有婴儿座椅的车。则输出大类:[]; 小类:[]

部分策略参考：
用户要求“拼车”时，选择大类和小类中含有“拼车”的车
用户要求“出租”时，选择大类和小类中含有“出租”或者“的士”的车
用户要求“豪华”时，选择大类和小类中含有“豪华”的车
用户要求“快车”或者“快速车”时，“快速”的车都属于快车，例如：特快车、特惠快车、特快出租车、滴滴快车、滴滴特快等
用户要求“特价车”或者“经济型”时，特价拼车、特价出租车、特惠快车、经济型都属于这类
六座专车与六座豪华属于不同车型，要求打六座专车时不能返回六座豪华车

注意：
不要根据车辆的价格来选择车型，一定只能根据用户的语义来选择车型
满足条件的车大类和车小类都要选上，不能漏选，比如“出租”、“的士”都属于“出租车”
只能从用户可以选择的车辆详情信息中选择，不能自己造一些大类和小类，输出的内容必须和可选择的车辆详情内的内容完全一致",大类:[]; 小类:[],大类:[]; 小类:[]
